,name,lon,lat,zNum,carCap,carDisCap,address
141,Парковка №0301 (53),37.584636,55.737202,0301,7,2,"улица Тимура Фрунзе, дом 15/1"
142,,,,,,,
143,Парковка №0301 (55),37.586723,55.735912,0301,10,0,"улица Тимура Фрунзе, дом 11, строение 19"
144,Парковка №0301 (55),37.587463,55.735434,0301,10,0,"улица Тимура Фрунзе, дом 11, строение 19"
145,,,,,,,
146,Парковка №0301 (56),37.586905,55.735972,0301,9,0,"улица Тимура Фрунзе, дом 26"
147,Парковка №0301 (56),37.587466,55.735615,0301,9,0,"улица Тимура Фрунзе, дом 26"
148,,,,,,,
149,Парковка №0301 (62),37.589974,55.733894,0301,11,0,"улица Тимура Фрунзе, дом 12"
150,Парковка №0301 (62),37.590725,55.733431,0301,11,0,"улица Тимура Фрунзе, дом 12"
151,,,,,,,
152,Парковка №0301 (64),37.590939,55.733313,0301,9,3,"улица Тимура Фрунзе, дом 10"
153,Парковка №0301 (64),37.591642,55.73281,0301,9,3,"улица Тимура Фрунзе, дом 10"
154,,,,,,,
155,Парковка №0301 (67),37.593699,55.731591,0301,9,0,"Комсомольский проспект, дом 5/2"
156,Парковка №0301 (67),37.592932,55.731806,0301,9,0,"Комсомольский проспект, дом 5/2"
157,,,,,,,
158,Парковка №0301 (73),37.588171,55.735776,0301,7,0,"Зубовский проезд, дом 3"
159,Парковка №0301 (73),37.588445,55.735988,0301,7,0,"Зубовский проезд, дом 3"
160,,,,,,,
161,Парковка №0301 (77),37.594596,55.735088,0301,7,2,"Фрунзенская набережная, дом 2/1"
162,Парковка №0301 (77),37.595484,55.7348,0301,7,2,"Фрунзенская набережная, дом 2/1"
163,,,,,,,
164,Парковка №0301 (78),37.583553,55.736103,0301,9,0,"улица Льва Толстого, дом 23, корпус 1"
165,Парковка №0301 (78),37.584668,55.735337,0301,9,0,"улица Льва Толстого, дом 23, корпус 1"
166,,,,,,,
167,Парковка №0301 (80),37.584454,55.735586,0301,8,2,"улица Тимура Фрунзе, дом 11, строение 60А"
168,Парковка №0301 (80),37.585666,55.734735,0301,8,2,"улица Тимура Фрунзе, дом 11, строение 60А"
169,,,,,,,
170,Парковка №0301 (87),37.588273,55.732901,0301,7,0,"улица Льва Толстого, дом 7"
171,Парковка №0301 (87),37.588794,55.732592,0301,7,0,"улица Льва Толстого, дом 7"
172,,,,,,,
173,Парковка №0301 (88),37.588338,55.732931,0301,7,2,"улица Льва Толстого, дом 14"
174,Парковка №0301 (88),37.588847,55.732622,0301,7,2,"улица Льва Толстого, дом 14"
175,,,,,,,
176,Парковка №0301 (94),37.590612,55.734139,0301,7,0,"улица Тимура Фрунзе, дом 12"
177,Парковка №0301 (94),37.591165,55.733927,0301,7,0,"улица Тимура Фрунзе, дом 12"
178,,,,,,,
179,Парковка №0301 (99),37.592409,55.732671,0301,9,2,"Комсомольский проспект, дом 4"
180,Парковка №0301 (99),37.592769,55.733294,0301,9,2,"Комсомольский проспект, дом 4"
181,,,,,,,
182,Парковка №0301 (246),37.583638,55.736406,0301,7,3,"улица Россолимо, дом 3, строение 1"
183,Парковка №0301 (246),37.584733,55.736948,0301,7,3,"улица Россолимо, дом 3, строение 1"
184,,,,,,,
185,Парковка №0303 (4),37.5876,55.763586,0303,7,0,"Садовая-Кудринская улица, дом 15, строение 1"
186,Парковка №0303 (4),37.587874,55.763891,0303,7,0,"Садовая-Кудринская улица, дом 15, строение 1"
187,,,,,,,
188,Парковка №0303 (5),37.588912,55.764873,0303,7,2,"Садовая-Кудринская улица, дом 19, строение 1"
189,Парковка №0303 (5),37.58911,55.765036,0303,7,2,"Садовая-Кудринская улица, дом 19, строение 1"
190,,,,,,,
