,name,lon,lat
408,район Зюзино,37.575448,55.646795
409,район Зюзино,37.571701,55.647761
410,район Зюзино,37.568297,55.648531
411,район Зюзино,37.565411,55.649191
412,район Зюзино,37.563998,55.649463
413,,,
414,Алексеевский район,37.634986,55.79714
415,Алексеевский район,37.635523,55.799649
416,Алексеевский район,37.635924,55.801337
417,Алексеевский район,37.636544,55.804714
418,Алексеевский район,37.63679,55.805991
419,Алексеевский район,37.637264,55.808499
420,Алексеевский район,37.637308,55.808885
421,Алексеевский район,37.637386,55.810056
422,Алексеевский район,37.637453,55.810708
423,Алексеевский район,37.637559,55.811381
424,Алексеевский район,37.637945,55.812999
425,Алексеевский район,37.638208,55.814178
426,Алексеевский район,37.638445,55.815388
427,Алексеевский район,37.638639,55.816445
428,Алексеевский район,37.63886,55.817536
429,Алексеевский район,37.639073,55.818069
430,Алексеевский район,37.639295,55.818588
431,Алексеевский район,37.639559,55.818995
432,Алексеевский район,37.640003,55.819556
433,Алексеевский район,37.64049,55.820088
434,Алексеевский район,37.643946,55.823397
435,Алексеевский район,37.645064,55.824425
436,Алексеевский район,37.647117,55.826375
437,Алексеевский район,37.64778,55.827053
438,Алексеевский район,37.649607,55.828873
439,Алексеевский район,37.649721,55.828977
440,Алексеевский район,37.652211,55.831255
441,Алексеевский район,37.653637,55.832597
442,Алексеевский район,37.654296,55.833281
443,Алексеевский район,37.654518,55.833065
444,Алексеевский район,37.65483,55.832831
445,Алексеевский район,37.655055,55.832615
446,Алексеевский район,37.65515,55.832387
447,Алексеевский район,37.655154,55.832127
448,Алексеевский район,37.655024,55.831838
449,Алексеевский район,37.654868,55.831667
450,Алексеевский район,37.654504,55.831386
451,Алексеевский район,37.654196,55.831122
452,Алексеевский район,37.653811,55.830776
453,Алексеевский район,37.653499,55.83039
454,Алексеевский район,37.653487,55.830118
455,Алексеевский район,37.653515,55.829758
456,Алексеевский район,37.653739,55.829178
457,Алексеевский район,37.654399,55.828643
458,Алексеевский район,37.655427,55.828285
459,Алексеевский район,37.65675,55.828102
460,Алексеевский район,37.658206,55.827789
461,Алексеевский район,37.660798,55.827527
462,Алексеевский район,37.66211,55.827307
463,Алексеевский район,37.664765,55.826694
464,Алексеевский район,37.66625,55.826298
465,Алексеевский район,37.667002,55.825993
466,Алексеевский район,37.667317,55.825658
467,Алексеевский район,37.667206,55.825364
468,Алексеевский район,37.667317,55.825102
469,Алексеевский район,37.667548,55.824955
470,Алексеевский район,37.667952,55.82492
471,Алексеевский район,37.668442,55.824958
472,Алексеевский район,37.668865,55.824862
473,Алексеевский район,37.66911,55.82474
474,Алексеевский район,37.669644,55.824579
475,Алексеевский район,37.669979,55.824506
476,Алексеевский район,37.670217,55.824462
477,Алексеевский район,37.670463,55.824424
478,Алексеевский район,37.670323,55.824082
479,Алексеевский район,37.669852,55.822789
480,Алексеевский район,37.669246,55.821541
