,name,lon,lat,zNum,carCap,carDisCap,address
209,Парковка №0301 (17),37.583971,55.74264,0301,3,3,"Смоленский бульвар, дом 17, строение 1"
210,Парковка №0301 (17),37.583923,55.74277,0301,3,3,"Смоленский бульвар, дом 17, строение 1"
211,,,,,,,
212,Парковка №0301 (27),37.558254,55.731182,0301,3,0,"Саввинская набережная, дом 27"
213,Парковка №0301 (27),37.557959,55.731015,0301,3,0,"Саввинская набережная, дом 27"
214,,,,,,,
215,Парковка №0301 (30),37.563468,55.733803,0301,2,2,"Саввинская набережная, дом 21А, строение 1"
216,Парковка №0301 (30),37.563817,55.733978,0301,2,2,"Саввинская набережная, дом 21А, строение 1"
217,,,,,,,
218,Парковка №0301 (34),37.560142,55.732256,0301,3,0,"Большой Саввинский переулок, дом 12, строение 11"
219,Парковка №0301 (34),37.559788,55.732084,0301,3,0,"Большой Саввинский переулок, дом 12, строение 11"
220,,,,,,,
221,Парковка №0301 (35),37.599458,55.746184,0301,3,0,"Гоголевский бульвар, дом 11"
222,Парковка №0301 (35),37.599673,55.745863,0301,3,0,"Гоголевский бульвар, дом 11"
223,,,,,,,
224,Парковка №0301 (37),37.599909,55.745494,0301,2,2,"Гоголевский бульвар, дом 9"
225,Парковка №0301 (37),37.599839,55.745578,0301,2,2,"Гоголевский бульвар, дом 9"
226,Парковка №0301 (37),37.599759,55.745696,0301,2,2,"Гоголевский бульвар, дом 9"
227,,,,,,,
228,Парковка №0301 (38),37.599329,55.746462,0301,2,0,"Нащокинский переулок, дом 12, строение 1"
229,Парковка №0301 (38),37.599386,55.746358,0301,2,0,"Нащокинский переулок, дом 12, строение 1"
230,,,,,,,
231,Парковка №0301 (39),37.599179,55.746634,0301,2,0,"Гоголевский бульвар, дом 17, строение 1"
232,Парковка №0301 (39),37.599233,55.74651,0301,2,0,"Гоголевский бульвар, дом 17, строение 1"
233,,,,,,,
234,Парковка №0301 (41),37.594711,55.735804,0301,3,1,"улица Остоженка, дом 53/2, строение 1"
235,Парковка №0301 (41),37.594829,55.736052,0301,3,1,"улица Остоженка, дом 53/2, строение 1"
236,,,,,,,
237,Парковка №0301 (200),37.609046,55.746976,0301,3,0,"Кремлёвская набережная, дом 1, строение 2"
238,Парковка №0301 (200),37.609203,55.747115,0301,3,0,"Кремлёвская набережная, дом 1, строение 2"
239,,,,,,,
240,Парковка №0301 (234),37.599678,55.738788,0301,2,2,"Молочный переулок, дом 11"
241,Парковка №0301 (234),37.599834,55.738921,0301,2,2,"Молочный переулок, дом 11"
242,,,,,,,
243,Парковка №0301 (47),37.60317,55.742807,0301,2,2,"1-й Обыденский переулок, дом 3"
244,Парковка №0301 (47),37.603487,55.742664,0301,2,2,"1-й Обыденский переулок, дом 3"
245,,,,,,,
246,Парковка №0301 (230),37.601754,55.742816,0301,2,0,"2-й Обыденский переулок, дом 12А"
247,Парковка №0301 (230),37.602038,55.742692,0301,2,0,"2-й Обыденский переулок, дом 12А"
248,,,,,,,
249,Парковка №0301 (229),37.601352,55.742988,0301,2,2,"2-й Обыденский переулок, дом 12А"
250,Парковка №0301 (229),37.601647,55.742858,0301,2,2,"2-й Обыденский переулок, дом 12А"
251,,,,,,,
252,Парковка №0301 (227),37.603406,55.742108,0301,2,2,"2-й Обыденский переулок, дом 6/3, строение 1"
